column_name,concept_pool,source,expected_frequency,difficulty_level
layman__fast_food_price_index,layman,FRED or Estimated,Monthly,Easy
layman__concert_ticket_index,layman,FRED or Estimated,Monthly,Easy
layman__airfare_index,layman,FRED or Estimated,Monthly,Easy
layman__childcare_cost_index,layman,FRED or Estimated,Monthly,Easy
layman__public_transit_fares,layman,FRED or Estimated,Monthly,Easy
layman__weather_disruption_index,layman,FRED or Estimated,Monthly,Easy
layman__crime_sentiment_index,layman,FRED or Estimated,Monthly,Easy
layman__news_fear_index,layman,FRED or Estimated,Monthly,Easy
layman__tiktok_political_score,layman,FRED or Estimated,Monthly,Easy
layman__amazon_cart_price_index,layman,FRED or Estimated,Monthly,Easy
layman__water_bill_index,layman,FRED or Estimated,Monthly,Easy
layman__internet_subscription_rate,layman,FRED or Estimated,Monthly,Easy
layman__streaming_bundle_index,layman,FRED or Estimated,Monthly,Easy
layman__consumer_survey_expectations,layman,FRED or Estimated,Monthly,Easy
layman__local_gas_shortage_index,layman,FRED or Estimated,Monthly,Easy
layman__school_closure_score,layman,FRED or Estimated,Monthly,Easy
layman__sports_game_attendance_rate,layman,FRED or Estimated,Monthly,Easy
layman__mall_foot_traffic_index,layman,FRED or Estimated,Monthly,Easy
layman__ev_charging_price_index,layman,FRED or Estimated,Monthly,Easy
layman__pothole_complaints_index,layman,FRED or Estimated,Monthly,Easy
layman__wifi_speed_index,layman,FRED or Estimated,Monthly,Easy
layman__google_trend_recession,layman,FRED or Estimated,Monthly,Easy
layman__personal_savings_rate,layman,FRED or Estimated,Monthly,Easy
layman__financial_anxiety_mentions,layman,FRED or Estimated,Monthly,Easy
pro_signal__credit_spread,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__yield_curve_slope,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__foreign_exchange_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__corporate_earnings_forecast,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__market_liquidity,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__high_yield_spread,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__libor_ois_spread,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__repo_market_stress,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__bank_lending_survey,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__margin_debt_growth,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__pmi_services,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__wage_growth_tracker,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__retail_inventory_ratio,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__business_confidence_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__industrial_order_backlog,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__commercial_loans_growth,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__high_frequency_trade_volume,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__ipo_volume_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__cybersecurity_alert_score,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__gasoline_inventory_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__container_shipping_delay,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__semiconductor_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__ad_revenue_decline_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__energy_subsidy_shock,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__labor_dispute_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__treasury_auction_failure,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__real_estate_foreclosure_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__private_equity_activity,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__cash_hoarding_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__repo_default_risk,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__forex_volatility_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__credit_card_delinquency_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__homebuilder_sentiment,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__m&a_activity_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__food_input_price_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__bulk_shipping_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__retail_footfall_change,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__vacancy_duration_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__corporate_tax_receipts,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__fiscal_spending_velocity,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__supply_chain_restocks,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__labor_shortage_mention_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__online_payment_volume,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__venture_funding_cooldown,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__cloud_computing_cost_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__remote_worker_density,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__foreign_direct_investment,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__domestic_auto_sales,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__housing_affordability_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__business_cash_flow_ratio,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__nonprofit_donation_rate,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__charter_school_enrollment,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__consumer_litigation_mentions,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__local_bank_health_score,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__patent_application_index,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__factory_shutdown_probability,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__hospital_admission_trend,pro_signal,FRED or Estimated,Monthly,Moderate
pro_signal__college_applications_sentiment,pro_signal,FRED or Estimated,Monthly,Moderate
academic__output_gap,academic,Synthetic or Composite,Monthly,Moderate
academic__term_premium,academic,Synthetic or Composite,Monthly,Moderate
academic__monetary_velocity,academic,Synthetic or Composite,Monthly,Moderate
academic__natural_rate_of_unemployment,academic,Synthetic or Composite,Monthly,Moderate
academic__total_factor_productivity,academic,Synthetic or Composite,Monthly,Moderate
academic__okuns_law_residual,academic,Synthetic or Composite,Monthly,Moderate
academic__fisher_effect_offset,academic,Synthetic or Composite,Monthly,Moderate
academic__real_potential_gdp,academic,Synthetic or Composite,Monthly,Moderate
academic__nairu_gap,academic,Synthetic or Composite,Monthly,Moderate
academic__neutral_interest_rate,academic,Synthetic or Composite,Monthly,Moderate
academic__labor_productivity_index,academic,Synthetic or Composite,Monthly,Moderate
academic__price_stickiness_coefficient,academic,Synthetic or Composite,Monthly,Moderate
academic__inflation_persistence_index,academic,Synthetic or Composite,Monthly,Moderate
academic__import_pass_through,academic,Synthetic or Composite,Monthly,Moderate
academic__real_wage_rigidity,academic,Synthetic or Composite,Monthly,Moderate
academic__consumption_gap,academic,Synthetic or Composite,Monthly,Moderate
academic__investment_efficiency_score,academic,Synthetic or Composite,Monthly,Moderate
academic__demographic_dependency_ratio,academic,Synthetic or Composite,Monthly,Moderate
academic__urbanization_trend,academic,Synthetic or Composite,Monthly,Moderate
academic__population_growth_adjustment,academic,Synthetic or Composite,Monthly,Moderate
academic__sovereign_risk_aversion_gap,academic,Synthetic or Composite,Monthly,Moderate
academic__sectoral_balance_sheet_gap,academic,Synthetic or Composite,Monthly,Moderate
academic__intertemporal_preference_rate,academic,Synthetic or Composite,Monthly,Moderate
academic__economic_entropy_score,academic,Synthetic or Composite,Monthly,Moderate
academic__capital_utilization_index,academic,Synthetic or Composite,Monthly,Moderate
academic__monetary_shock_residual,academic,Synthetic or Composite,Monthly,Moderate
academic__inflation_expectation_error,academic,Synthetic or Composite,Monthly,Moderate
academic__wealth_distribution_shift,academic,Synthetic or Composite,Monthly,Moderate
academic__education_attainment_index,academic,Synthetic or Composite,Monthly,Moderate
academic__aging_index_adjustment,academic,Synthetic or Composite,Monthly,Moderate
academic__income_inequality_shift,academic,Synthetic or Composite,Monthly,Moderate
academic__labor_displacement_score,academic,Synthetic or Composite,Monthly,Moderate
academic__carbon_tax_shock_score,academic,Synthetic or Composite,Monthly,Moderate
academic__green_investment_index,academic,Synthetic or Composite,Monthly,Moderate
academic__interest_rate_momentum,academic,Synthetic or Composite,Monthly,Moderate
academic__r_star_shift,academic,Synthetic or Composite,Monthly,Moderate
academic__real_exchange_mispricing,academic,Synthetic or Composite,Monthly,Moderate
academic__structural_fiscal_balance,academic,Synthetic or Composite,Monthly,Moderate
engineered__nowcast_gdp,engineered,Synthetic or Composite,Monthly,Hard
engineered__recession_model_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__real_interest_rate_gap,engineered,Synthetic or Composite,Monthly,Hard
engineered__economic_surprise_index,engineered,Synthetic or Composite,Monthly,Hard
engineered__tail_risk_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__volatility_term_structure,engineered,Synthetic or Composite,Monthly,Hard
engineered__machine_sentiment_factor,engineered,Synthetic or Composite,Monthly,Hard
engineered__fwd_earnings_surprise,engineered,Synthetic or Composite,Monthly,Hard
engineered__macro_risk_factor_1,engineered,Synthetic or Composite,Monthly,Hard
engineered__regime_switch_probability,engineered,Synthetic or Composite,Monthly,Hard
engineered__bond_market_stress_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__corporate_default_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__ml_credit_risk_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__liquidity_crunch_index,engineered,Synthetic or Composite,Monthly,Hard
engineered__portfolio_risk_shift,engineered,Synthetic or Composite,Monthly,Hard
engineered__nonlinear_policy_response_estimate,engineered,Synthetic or Composite,Monthly,Hard
engineered__regional_recession_risk,engineered,Synthetic or Composite,Monthly,Hard
engineered__cross_sector_beta_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__synthetic_inflation_nowcast,engineered,Synthetic or Composite,Monthly,Hard
engineered__residual_volatility_spike,engineered,Synthetic or Composite,Monthly,Hard
engineered__early_warning_composite_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__derived_fair_value_gap,engineered,Synthetic or Composite,Monthly,Hard
engineered__real_yield_momentum_index,engineered,Synthetic or Composite,Monthly,Hard
engineered__commodity_supercycle_signal,engineered,Synthetic or Composite,Monthly,Hard
engineered__media_narrative_shift_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__latent_earnings_decline_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__forward_policy_uncertainty,engineered,Synthetic or Composite,Monthly,Hard
engineered__neural_macrofactor_entropy,engineered,Synthetic or Composite,Monthly,Hard
engineered__weekly_retail_sentiment_change,engineered,Synthetic or Composite,Monthly,Hard
engineered__lead_lag_confidence_vector,engineered,Synthetic or Composite,Monthly,Hard
engineered__subnational_demand_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__shadow_price_shock_score,engineered,Synthetic or Composite,Monthly,Hard
engineered__systemic_leverage_estimate,engineered,Synthetic or Composite,Monthly,Hard
engineered__fasttext_immigration_signal,engineered,Synthetic or Composite,Monthly,Hard
engineered__openai_macro_news_index,engineered,Synthetic or Composite,Monthly,Hard
engineered__internet_activity_stress_signal,engineered,Synthetic or Composite,Monthly,Hard
engineered__patent_innovation_velocity,engineered,Synthetic or Composite,Monthly,Hard
engineered__climate_policy_chatter_index,engineered,Synthetic or Composite,Monthly,Hard
external__apple_stock_movement,external,Synthetic or Composite,Monthly,Hard
external__microsoft_stock_movement,external,Synthetic or Composite,Monthly,Hard
external__tesla_news_spike,external,Synthetic or Composite,Monthly,Hard
external__s&p500_etf_flow,external,Synthetic or Composite,Monthly,Hard
external__google_trends_unemployment,external,Synthetic or Composite,Monthly,Hard
external__reddit_finance_sentiment,external,Synthetic or Composite,Monthly,Hard
external__youtube_economy_content_volume,external,Synthetic or Composite,Monthly,Hard
external__twitter_macro_fear_score,external,Synthetic or Composite,Monthly,Hard
external__tiktok_recession_hashtag_velocity,external,Synthetic or Composite,Monthly,Hard
external__news_coverage_volatility_index,external,Synthetic or Composite,Monthly,Hard
external__weather_extreme_event_index,external,Synthetic or Composite,Monthly,Hard
external__war_mentions_per_minute,external,Synthetic or Composite,Monthly,Hard
external__immigration_mentions_weekly,external,Synthetic or Composite,Monthly,Hard
external__pandemic_supply_disruptions,external,Synthetic or Composite,Monthly,Hard
external__election_cycle_shock_score,external,Synthetic or Composite,Monthly,Hard
external__public_trust_in_government,external,Synthetic or Composite,Monthly,Hard
external__surprise_legislation_index,external,Synthetic or Composite,Monthly,Hard
external__energy_policy_conflict_score,external,Synthetic or Composite,Monthly,Hard
external__commodity_scarcity_mentions,external,Synthetic or Composite,Monthly,Hard
external__flood_displacement_index,external,Synthetic or Composite,Monthly,Hard
