raw_feature_id,economic_label
feature_94,minimum_wage_trend
feature_95,minimum_wage_trend_110
feature_96,gas_price
feature_97,retail_sales_133
feature_98,recession_model_score_101
feature_99,tail_risk_score_5
feature_100,VIX_index_59
feature_101,yield_curve_slope_102
feature_102,economic_surprise_index_97
feature_103,bank_lending_survey_99
feature_104,PMI_manufacturing_46
feature_105,nairu_gap_173
feature_106,real_potential_GDP_31
feature_107,monetary_velocity
feature_108,housing_prices_37
feature_109,consumer_sentiment_index_150
feature_110,nairu_gap_177
feature_111,macro_risk_factor_1_128
feature_112,machine_sentiment_factor_131
feature_113,federal_funds_rate_118
feature_114,neutral_interest_rate_6
feature_115,initial_jobless_claims_93
feature_116,monetary_velocity_106
feature_117,bank_lending_survey_24
feature_118,CPI_inflation_148
feature_119,regime_switch_probability
feature_120,economic_surprise_index_142
feature_121,tail_risk_score_122
feature_122,volatility_term_structure_22
feature_123,okuns_law_residual_29
feature_124,yield_curve_slope_27
feature_125,economic_surprise_index
feature_126,economic_surprise_index_75
feature_127,natural_rate_of_unemployment_164
feature_128,natural_rate_of_unemployment_121
feature_129,used_car_prices_109
feature_130,nairu_gap
feature_131,fisher_effect_offset
feature_132,housing_starts_160
feature_133,fwd_earnings_surprise_169
feature_134,margin_debt_growth_95
feature_135,grocery_index_57
feature_136,okuns_law_residual_50
feature_137,retail_sales_70
feature_138,job_postings_online_151
feature_139,PMI_manufacturing
feature_140,okuns_law_residual_65
feature_141,foreign_exchange_rate_194
feature_142,tail_risk_score_81
feature_143,consumer_sentiment_index_197
feature_144,natural_rate_of_unemployment_4
feature_145,monetary_velocity_76
feature_146,nairu_gap_63
feature_147,high_yield_spread
feature_148,electricity_cost_index_79
feature_149,market_liquidity_158
feature_150,nowcast_gdp_62
feature_151,nowcast_gdp_69
feature_152,total_factor_productivity
feature_153,recession_model_score_192
feature_154,federal_funds_rate_82
feature_155,consumer_sentiment_index_179
feature_156,S&P500_returns_135
feature_157,term_premium
feature_158,VIX_index_15
feature_159,federal_funds_rate_144
feature_160,10y_treasury_yield
feature_161,fwd_earnings_surprise_30
feature_162,electricity_cost_index_129
feature_163,monetary_velocity_159
feature_164,total_factor_productivity_152
feature_165,VIX_index
feature_166,fisher_effect_offset_120
feature_167,consumer_sentiment_index
feature_168,libor_ois_spread
feature_169,housing_prices
feature_170,margin_debt_growth_12
feature_171,real_potential_GDP_180
feature_172,recession_model_score
feature_173,nairu_gap_125
feature_174,fisher_effect_offset_149
feature_175,GDP_growth
feature_176,fwd_earnings_surprise_140
feature_177,volatility_term_structure
feature_178,mortgage_rate_32
feature_179,corporate_earnings_forecast_7
feature_180,used_car_prices_162
feature_181,term_premium_178
feature_182,recession_model_score_1
feature_183,credit_spread_89
feature_184,okuns_law_residual
feature_185,used_car_prices_0
feature_186,economic_surprise_index_92
feature_187,nowcast_gdp
feature_188,PMI_manufacturing_10
feature_189,grocery_index_33
feature_190,output_gap
feature_191,federal_funds_rate
feature_192,output_gap_100
feature_193,natural_rate_of_unemployment_111
feature_194,electricity_cost_index_112
feature_195,housing_starts_2
feature_196,housing_prices_117
feature_197,yield_curve_slope
feature_198,real_potential_GDP_185
feature_199,margin_debt_growth
feature_200,mortgage_rate
feature_201,okuns_law_residual_18
feature_202,electricity_cost_index_49
feature_203,natural_rate_of_unemployment
feature_204,total_factor_productivity_39
feature_205,economic_surprise_index_113
feature_206,unemployment_rate_87
feature_207,electricity_cost_index_163
feature_208,CPI_inflation_123
feature_209,economic_surprise_index_171
feature_210,foreign_exchange_rate_40
feature_211,recession_model_score_196
feature_212,S&P500_returns_170
feature_213,term_premium_61
feature_214,mortgage_rate_3
feature_215,recession_model_score_184
feature_216,gas_price_124
feature_217,housing_starts
feature_218,macro_risk_factor_1_19
feature_219,gas_price_52
feature_220,foreign_exchange_rate_105
feature_221,nowcast_gdp_73
feature_222,job_postings_online_161
feature_223,corporate_earnings_forecast
feature_224,natural_rate_of_unemployment_115
feature_225,job_postings_online_54
feature_226,gas_price_174
feature_227,fwd_earnings_surprise
feature_228,macro_risk_factor_1_134
feature_229,term_premium_182
feature_230,corporate_earnings_forecast_98
feature_231,GDP_growth_55
feature_232,total_factor_productivity_86
feature_233,GDP_growth_126
feature_234,initial_jobless_claims_138
feature_235,real_potential_GDP_119
feature_236,real_potential_GDP_42
feature_237,10y_treasury_yield_64
feature_238,electricity_cost_index_47
feature_239,real_interest_rate_gap
feature_240,CPI_inflation_85
feature_241,libor_ois_spread_175
feature_242,foreign_exchange_rate_8
feature_243,foreign_exchange_rate
feature_244,repo_market_stress
feature_245,output_gap_74
feature_246,real_interest_rate_gap_25
feature_247,initial_jobless_claims
feature_248,okuns_law_residual_190
feature_249,S&P500_returns
