Label,Generation,PR AUC,Lineage,Beats Baseline?,Baseline PR AUC,Dataset
Elastic_L70_C10 + SMOTEENN_G0,0,0.144,origin of Elastic_L70_C10 + SMOTEENN,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Random Undersample_G0,0,0.148,origin of Elastic_L70_C10 + Random Undersample,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G0,0,0.188,origin of Elastic_L70_C10 + Cluster Centroids,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + No Resampling_G0,0,0.158,origin of Elastic_L70_C10 + No Resampling,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.188,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.188,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.188,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.187,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.187,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G1,1,0.187,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.187,child of Elastic_L70_C10 + Cluster Centroids_G1,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.188,child of Elastic_L70_C10 + Cluster Centroids_G1,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.188,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.188,child of Elastic_L70_C10 + Cluster Centroids_G0,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.189,child of Elastic_L70_C10 + Cluster Centroids_G1,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G2,2,0.189,child of Elastic_L70_C10 + Cluster Centroids_G1,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.188,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.191,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.19,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.189,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.189,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G3,3,0.188,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.189,child of Elastic_L70_C10 + Cluster Centroids_G3,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.191,child of Elastic_L70_C10 + Cluster Centroids_G3,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.189,child of Elastic_L70_C10 + Cluster Centroids_G3,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.191,child of Elastic_L70_C10 + Cluster Centroids_G3,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.189,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G4,4,0.188,child of Elastic_L70_C10 + Cluster Centroids_G2,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.192,child of Elastic_L70_C10 + Cluster Centroids_G4,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.19,child of Elastic_L70_C10 + Cluster Centroids_G4,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.192,child of Elastic_L70_C10 + Cluster Centroids_G4,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.192,child of Elastic_L70_C10 + Cluster Centroids_G4,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.191,child of Elastic_L70_C10 + Cluster Centroids_G3,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G5,5,0.19,child of Elastic_L70_C10 + Cluster Centroids_G3,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.191,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.191,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.192,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.192,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.192,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G6,6,0.192,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.192,child of Elastic_L70_C10 + Cluster Centroids_G6,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.192,child of Elastic_L70_C10 + Cluster Centroids_G6,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.191,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.191,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.192,child of Elastic_L70_C10 + Cluster Centroids_G6,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G7,7,0.192,child of Elastic_L70_C10 + Cluster Centroids_G6,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.192,child of Elastic_L70_C10 + Cluster Centroids_G7,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.193,child of Elastic_L70_C10 + Cluster Centroids_G7,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.192,child of Elastic_L70_C10 + Cluster Centroids_G6,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.192,child of Elastic_L70_C10 + Cluster Centroids_G6,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.192,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G8,8,0.192,child of Elastic_L70_C10 + Cluster Centroids_G5,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.202,child of Elastic_L70_C10 + Cluster Centroids_G8,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.192,child of Elastic_L70_C10 + Cluster Centroids_G8,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.192,child of Elastic_L70_C10 + Cluster Centroids_G8,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.202,child of Elastic_L70_C10 + Cluster Centroids_G8,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.192,child of Elastic_L70_C10 + Cluster Centroids_G7,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G9,9,0.192,child of Elastic_L70_C10 + Cluster Centroids_G7,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G10,10,0.201,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G10,10,0.193,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G10,10,0.202,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G10,10,0.193,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G10,10,0.202,child of Elastic_L70_C10 + Cluster Centroids_G8,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G10,10,0.192,child of Elastic_L70_C10 + Cluster Centroids_G8,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G11,11,0.193,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G11,11,0.193,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G11,11,0.192,child of Elastic_L70_C10 + Cluster Centroids_G10,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G11,11,0.202,child of Elastic_L70_C10 + Cluster Centroids_G10,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G11,11,0.201,child of Elastic_L70_C10 + Cluster Centroids_G10,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G11,11,0.203,child of Elastic_L70_C10 + Cluster Centroids_G10,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G12,12,0.202,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G12,12,0.202,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G12,12,0.203,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G12,12,0.202,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G12,12,0.192,child of Elastic_L70_C10 + Cluster Centroids_G10,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G12,12,0.202,child of Elastic_L70_C10 + Cluster Centroids_G10,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G13,13,0.204,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G13,13,0.204,child of Elastic_L70_C10 + Cluster Centroids_G12,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G13,13,0.203,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G13,13,0.202,child of Elastic_L70_C10 + Cluster Centroids_G11,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G13,13,0.193,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G13,13,0.193,child of Elastic_L70_C10 + Cluster Centroids_G9,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G14,14,0.204,child of Elastic_L70_C10 + Cluster Centroids_G13,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G14,14,0.206,child of Elastic_L70_C10 + Cluster Centroids_G13,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G14,14,0.203,child of Elastic_L70_C10 + Cluster Centroids_G13,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G14,14,0.205,child of Elastic_L70_C10 + Cluster Centroids_G13,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G14,14,0.202,child of Elastic_L70_C10 + Cluster Centroids_G13,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G14,14,0.206,child of Elastic_L70_C10 + Cluster Centroids_G13,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G15,15,0.206,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G15,15,0.206,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G15,15,0.204,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G15,15,0.204,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G15,15,0.204,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G15,15,0.204,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G16,16,0.208,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G16,16,0.204,child of Elastic_L70_C10 + Cluster Centroids_G14,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G16,16,0.206,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G16,16,0.209,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G16,16,0.203,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G16,16,0.208,child of Elastic_L70_C10 + Cluster Centroids_G15,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G17,17,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G17,17,0.208,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G17,17,0.201,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G17,17,0.209,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G17,17,0.207,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G17,17,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G18,18,0.209,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G18,18,0.207,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G18,18,0.208,child of Elastic_L70_C10 + Cluster Centroids_G17,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G18,18,0.202,child of Elastic_L70_C10 + Cluster Centroids_G17,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G18,18,0.206,child of Elastic_L70_C10 + Cluster Centroids_G17,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G18,18,0.208,child of Elastic_L70_C10 + Cluster Centroids_G17,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G19,19,0.209,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G19,19,0.209,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G19,19,0.206,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G19,19,0.208,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G19,19,0.2,child of Elastic_L70_C10 + Cluster Centroids_G17,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G19,19,0.204,child of Elastic_L70_C10 + Cluster Centroids_G17,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G20,20,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G20,20,0.208,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G20,20,0.209,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G20,20,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G20,20,0.201,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G20,20,0.206,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G21,21,0.201,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G21,21,0.203,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G21,21,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G21,21,0.206,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G21,21,0.209,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G21,21,0.207,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G22,22,0.206,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G22,22,0.203,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G22,22,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G22,22,0.203,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G22,22,0.208,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G22,22,0.204,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G23,23,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G23,23,0.202,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G23,23,0.2,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G23,23,0.203,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G23,23,0.209,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G23,23,0.206,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G24,24,0.207,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G24,24,0.203,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G24,24,0.209,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G24,24,0.207,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G24,24,0.206,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G24,24,0.202,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G25,25,0.208,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G25,25,0.2,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G25,25,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G25,25,0.2,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G25,25,0.201,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G25,25,0.206,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G26,26,0.207,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G26,26,0.207,child of Elastic_L70_C10 + Cluster Centroids_G16,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G26,26,0.201,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G26,26,0.208,child of Elastic_L70_C10 + Cluster Centroids_G19,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G26,26,0.208,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
Elastic_L70_C10 + Cluster Centroids_G26,26,0.208,child of Elastic_L70_C10 + Cluster Centroids_G18,✅ Yes,0.045,mixed_realistic_w4_n15_d30.csv
