date,layman__oil_price,layman__gas_price,layman__mortgage_rate,layman__housing_prices,layman__grocery_index,layman__retail_sales,layman__electricity_cost_index,layman__used_car_prices,layman__minimum_wage_trend,layman__water_bill_index,linchpin__cpi_inflation,linchpin__unemployment_rate,linchpin__federal_funds_rate
2002-02-28,21.78,1.116,6.81,116.916,176.0,285054.0,130.6,153.9,5.15,132.7,178.0,5.7,1.74
2002-03-31,21.78,1.342,7.18,117.929,176.3,284262.0,130.2,152.1,5.15,133.0,178.5,5.7,1.73
2002-04-30,27.32,1.393,6.88,119.209,176.4,288833.0,133.1,151.8,5.15,131.8,179.3,5.9,1.75
2002-05-31,25.37,1.387,6.76,120.788,175.5,284951.0,133.2,151.8,5.15,133.8,179.5,5.8,1.75
2002-06-30,26.79,1.384,6.55,122.333,175.0,287372.0,132.8,152.2,5.15,142.1,179.6,5.8,1.75
2002-07-31,27.02,1.407,6.34,123.68799999999999,175.2,290385.0,132.9,152.7,5.15,142.9,180.0,5.8,1.73
2002-08-31,28.97,1.403,6.22,124.73,174.9,292650.0,132.6,153.4,5.15,142.9,180.5,5.7,1.74
2002-09-30,30.59,1.413,5.99,125.495,175.2,288410.0,134.1,152.2,5.15,142.6,180.8,5.7,1.75
2002-10-31,27.18,1.444,6.31,126.13799999999999,175.1,289576.0,138.1,150.7,5.15,135.9,181.2,5.7,1.75
2002-11-30,27.18,1.38,6.13,126.64299999999999,175.5,291484.0,144.3,148.8,5.15,131.9,181.5,5.9,1.34
2002-12-31,31.21,1.441,5.93,127.15100000000001,176.1,293947.0,145.1,148.5,5.15,132.1,181.8,6.0,1.24
2003-01-31,33.51,1.473,5.9,127.652,176.7,295248.0,150.9,148.3,5.15,132.1,182.6,5.8,1.24
2003-02-28,36.76,1.658,5.79,128.326,177.6,291167.0,154.7,148.4,5.15,132.5,183.6,5.9,1.26
2003-03-31,31.14,1.649,5.91,129.308,177.7,296325.0,175.3,148.5,5.15,134.0,183.9,5.9,1.25
2003-04-30,26.09,1.557,5.79,130.488,177.3,295600.0,169.4,148.4,5.15,135.5,183.2,6.0,1.26
2003-05-31,29.56,1.487,5.31,131.84,177.8,296410.0,166.3,147.9,5.15,138.7,182.9,6.1,1.26
2003-06-30,30.15,1.487,5.24,133.225,178.9,299626.0,170.4,147.4,5.15,146.7,183.1,6.3,1.22
2003-07-31,30.56,1.516,5.94,134.64700000000002,178.9,302747.0,169.5,145.7,5.15,147.4,183.7,6.2,1.01
2003-08-31,31.76,1.747,6.32,135.965,179.7,307809.0,166.9,143.3,5.15,147.6,184.5,6.1,1.03
2003-09-30,29.19,1.591,5.98,137.076,180.1,305933.0,167.4,139.0,5.15,148.0,185.1,6.1,1.01
2003-10-31,29.24,1.542,5.94,137.976,181.5,304809.0,166.3,135.1,5.15,140.2,184.9,6.0,1.01
2003-11-30,29.24,1.512,5.89,138.766,182.4,308527.0,168.0,132.0,5.15,135.5,185.0,5.8,1.0
2003-12-31,32.51,1.478,5.85,139.628,184.1,307407.0,170.3,131.0,5.15,135.6,185.5,5.7,0.98
2004-01-31,33.16,1.622,5.68,140.705,184.0,309254.0,176.6,130.8,5.15,136.2,186.3,5.7,1.0
2004-02-29,36.08,1.688,5.58,142.02700000000002,184.0,311393.0,174.9,131.0,5.15,136.8,186.7,5.6,1.01
2004-03-31,35.75,1.758,5.4,144.079,184.3,316912.0,169.7,131.2,5.15,136.1,187.1,5.8,1.0
2004-04-30,37.31,1.812,6.01,146.18,184.1,313512.0,170.6,131.3,5.15,136.7,187.4,5.6,1.0
2004-05-31,37.31,2.051,6.32,148.336,186.6,318964.0,172.8,131.8,5.15,139.5,188.2,5.6,1.0
2004-06-30,36.92,1.921,6.25,150.52,186.8,314958.0,179.7,130.6,5.15,149.5,188.9,5.6,1.03
2004-07-31,43.72,1.905,6.08,152.338,187.1,318549.0,181.5,132.1,5.15,150.4,189.1,5.5,1.26
2004-08-31,42.23,1.866,5.82,153.815,186.7,318977.0,182.6,133.8,5.15,150.9,189.2,5.4,1.43
2004-09-30,49.56,1.917,5.72,155.109,186.1,324569.0,177.8,136.5,5.15,150.4,189.8,5.4,1.61
2004-10-31,51.78,2.032,5.64,156.3,187.9,326740.0,179.6,136.8,5.15,141.4,190.8,5.5,1.76
2004-11-30,49.16,1.945,5.72,157.498,188.1,327836.0,196.8,136.7,5.15,138.6,191.7,5.4,1.93
2004-12-31,49.16,1.791,5.81,158.671,188.5,331874.0,198.2,137.3,5.15,138.5,191.7,5.4,2.16
2005-01-31,48.25,1.911,5.66,160.131,188.9,328696.0,196.4,137.5,5.15,141.0,191.6,5.3,2.28
2005-02-28,51.75,1.928,5.69,161.925,188.0,333026.0,190.6,137.6,5.15,141.2,192.4,5.4,2.5
2005-03-31,55.31,2.153,6.04,164.577,188.1,333581.0,188.2,137.7,5.15,141.9,193.1,5.2,2.63
2005-04-30,49.2,2.236,5.78,167.00099999999998,189.8,336583.0,198.5,138.1,5.15,142.3,193.7,5.2,2.79
2005-05-31,52.08,2.097,5.65,169.546,190.3,334522.0,198.2,138.8,5.15,146.5,193.6,5.1,3.0
2005-06-30,56.63,2.215,5.53,172.017,189.4,343998.0,193.6,139.9,5.15,157.9,193.7,5.0,3.04
2005-07-31,60.71,2.289,5.77,174.09900000000002,189.8,346576.0,200.8,141.0,5.15,158.6,194.9,5.0,3.26
2005-08-31,68.63,2.61,5.77,175.924,189.5,343307.0,204.3,142.0,5.15,159.5,196.1,4.9,3.5
2005-09-30,66.21,2.803,5.91,177.612,190.0,343956.0,227.8,141.5,5.15,160.0,198.8,5.0,3.62
2005-10-31,59.8,2.48,6.15,178.753,190.8,344097.0,260.9,140.6,5.15,153.3,199.1,5.0,3.78
2005-11-30,57.33,2.154,6.28,179.675,191.0,347325.0,267.9,139.4,5.15,154.4,198.1,5.0,4.0
2005-12-31,61.06,2.197,6.22,180.108,191.7,347405.0,258.0,139.2,5.15,153.3,198.1,4.9,4.16
2006-01-31,67.86,2.357,6.12,180.828,193.4,357331.0,264.1,139.3,5.15,162.2,199.3,4.7,4.29
2006-02-28,61.37,2.254,6.26,181.5,192.6,354706.0,241.5,139.5,5.15,162.9,199.4,4.8,4.49
2006-03-31,66.25,2.498,6.35,182.74900000000002,192.3,355665.0,229.5,140.0,5.15,163.1,199.7,4.7,4.59
2006-04-30,71.8,2.914,6.58,183.648,191.5,357423.0,220.4,140.4,5.15,163.3,200.7,4.7,4.79
2006-05-31,71.42,2.867,6.62,184.38,191.9,356704.0,218.0,140.9,5.15,165.6,201.3,4.6,4.94
2006-06-30,73.94,2.869,6.78,184.547,192.2,357879.0,208.4,141.5,5.15,178.1,201.8,4.6,4.99
2006-07-31,74.56,3.004,6.72,184.607,192.6,359006.0,208.9,142.1,5.15,178.8,202.9,4.7,5.24
2006-08-31,70.38,2.845,6.44,184.40400000000002,193.1,360691.0,210.1,142.4,5.15,178.7,203.8,4.7,5.25
2006-09-30,62.9,2.378,6.31,184.19799999999998,194.1,358961.0,213.8,141.0,5.15,178.8,202.8,4.5,5.25
2006-10-31,58.72,2.218,6.4,184.053,195.1,358462.0,198.3,139.3,5.15,169.3,201.9,4.4,5.25
2006-11-30,62.97,2.246,6.14,183.63,194.3,359266.0,214.8,137.3,5.15,164.4,202.0,4.5,5.25
2006-12-31,60.85,2.341,6.18,183.229,194.3,363730.0,221.3,136.2,5.15,164.8,203.1,4.4,5.24
2007-01-31,58.17,2.165,6.25,182.718,196.671,363616.0,217.428,135.257,5.15,168.903,203.437,4.6,5.25
2007-02-28,61.78,2.383,6.22,182.47099999999998,198.193,364006.0,218.173,134.597,5.15,168.87,204.226,4.5,5.26
2007-03-31,65.94,2.61,6.16,182.19299999999998,198.766,367158.0,222.221,134.382,5.15,169.346,205.288,4.4,5.26
2007-04-30,65.78,2.971,6.16,182.13099999999997,199.02,366187.0,220.779,134.363,5.15,169.385,205.904,4.5,5.25
2007-05-31,64.02,3.209,6.42,181.885,200.334,370934.0,221.801,134.481,5.15,172.342,206.755,4.4,5.25
2007-06-30,70.47,2.982,6.67,181.54,200.95,368154.0,223.313,135.067,5.15,184.194,207.234,4.6,5.25
2007-07-31,78.2,2.876,6.69,180.993,201.401,369614.0,219.865,136.024,5.85,184.408,207.603,4.7,5.26
2007-08-31,73.98,2.749,6.45,180.234,202.126,371358.0,211.181,137.138,5.85,184.081,207.667,4.6,5.02
2007-09-30,81.64,2.812,6.42,179.122,203.193,372869.0,208.211,137.142,5.85,184.365,208.547,4.7,4.94
2007-10-31,94.16,2.872,6.33,177.52900000000002,204.333,375289.0,209.993,136.95,5.85,177.244,209.19,4.7,4.76
2007-11-30,88.6,3.097,6.1,175.16099999999997,204.745,378860.0,218.791,136.616,5.85,173.406,210.834,4.7,4.49
2007-12-31,95.95,3.053,6.17,173.33700000000002,205.208,374298.0,220.496,136.943,5.85,173.357,211.445,5.0,4.24
2008-01-31,91.67,2.977,5.68,171.076,207.983,375236.0,220.065,137.203,5.85,175.219,212.174,5.0,3.94
2008-02-29,101.78,3.13,6.24,169.19,208.329,371833.0,225.808,137.248,5.85,174.606,212.687,4.9,2.98
2008-03-31,101.54,3.29,5.85,167.90200000000002,208.203,372745.0,233.931,137.225,5.85,175.639,213.448,5.1,2.61
2008-04-30,113.7,3.603,6.03,167.321,210.851,372572.0,244.862,136.787,5.85,177.818,213.942,5.0,2.28
2008-05-31,127.35,3.937,6.08,167.019,211.863,376036.0,258.374,136.325,5.85,182.26,215.208,5.4,1.98
2008-06-30,139.96,4.095,6.45,166.53599999999997,213.171,376455.0,271.234,135.98,5.85,194.434,217.463,5.6,2.0
2008-07-31,124.17,3.955,6.52,165.713,215.785,375038.0,291.713,135.84,6.55,199.068,219.016,5.8,2.01
2008-08-31,115.55,3.685,6.4,164.27700000000002,217.259,372284.0,272.982,135.405,6.55,200.795,218.69,6.1,2.0
2008-09-30,100.7,3.632,6.09,161.912,218.629,366729.0,247.788,132.916,6.55,198.579,218.877,6.1,1.81
2008-10-31,68.1,2.656,6.46,159.162,219.66,352950.0,239.218,129.733,6.55,191.513,216.995,6.5,0.97
2008-11-30,55.21,1.892,5.97,156.071,219.086,339350.0,235.114,126.869,6.55,187.473,213.153,6.8,0.39
2008-12-31,44.6,1.613,5.1,152.54399999999998,218.683,332091.0,232.548,125.883,6.55,188.342,211.398,7.3,0.16
2009-01-31,41.73,1.838,5.1,149.361,219.744,336929.0,227.0,124.863,6.55,190.471,211.933,7.8,0.15
2009-02-28,44.15,1.909,5.07,147.61700000000002,218.389,335576.0,218.459,122.837,6.55,190.645,212.705,8.3,0.22
2009-03-31,49.64,2.046,4.85,146.514,217.11,329747.0,207.179,121.061,6.55,190.065,212.495,8.7,0.18
2009-04-30,50.35,2.049,4.78,146.942,215.783,331352.0,193.534,121.213,6.55,189.007,212.709,9.0,0.15
2009-05-31,66.31,2.435,4.91,148.16899999999998,215.088,334256.0,182.464,122.65,6.55,191.066,213.022,9.4,0.18
2009-06-30,69.82,2.642,5.42,149.796,214.824,339883.0,183.979,124.323,6.55,199.924,214.79,9.5,0.21
2009-07-31,69.26,2.503,5.25,150.748,213.815,340517.0,186.191,125.061,7.25,199.251,214.726,9.5,0.16
2009-08-31,69.97,2.613,5.14,150.668,213.722,346668.0,183.632,128.028,7.25,198.36,215.445,9.6,0.16
2009-09-30,70.46,2.499,5.04,149.628,213.227,338507.0,178.424,129.369,7.25,198.286,215.861,9.8,0.15
2009-10-31,77.04,2.674,5.03,148.585,213.605,341654.0,181.922,132.689,7.25,190.376,216.509,10.0,0.12
2009-11-30,77.19,2.629,4.78,147.94,212.816,344375.0,191.324,134.173,7.25,187.708,217.234,9.9,0.12
2009-12-31,79.39,2.607,5.14,146.666,213.359,346072.0,190.497,137.406,7.25,187.388,217.347,9.9,0.12
2010-01-31,72.85,2.705,4.98,145.003,215.404,345889.0,199.199,139.174,7.25,186.903,217.488,9.8,0.11
2010-02-28,79.72,2.655,5.05,143.054,215.118,346724.0,200.12,140.218,7.25,185.448,217.281,9.8,0.13
2010-03-31,83.45,2.798,4.99,143.596,215.623,354119.0,195.832,140.797,7.25,189.061,217.353,9.9,0.16
2010-04-30,86.07,2.849,5.06,145.40200000000002,215.737,357354.0,188.014,141.315,7.25,190.21,217.403,9.9,0.2
2010-05-31,86.07,2.728,4.78,147.037,215.793,354068.0,186.595,142.537,7.25,192.416,217.29,9.6,0.2
2010-06-30,75.59,2.757,4.69,147.703,215.361,353647.0,187.442,144.399,7.25,200.767,217.199,9.4,0.18
2010-07-31,78.85,2.749,4.54,147.563,215.256,354717.0,192.003,146.379,7.25,201.914,217.605,9.4,0.18
2010-08-31,71.93,2.682,4.36,146.42700000000002,215.382,356448.0,190.655,147.909,7.25,201.624,217.923,9.5,0.19
2010-09-30,79.95,2.694,4.32,144.608,216.161,359359.0,183.759,146.065,7.25,200.405,218.275,9.5,0.19
2010-10-31,81.45,2.817,4.23,143.128,216.698,363469.0,185.293,144.04,7.25,191.481,219.035,9.4,0.19
2010-11-30,84.12,2.856,4.4,141.816,216.538,367051.0,182.12,142.25,7.25,188.198,219.59,9.8,0.19
2010-12-31,91.38,3.052,4.86,140.625,216.955,369139.0,185.106,142.454,7.25,188.711,220.472,9.3,0.18
2011-01-31,90.99,3.101,4.8,139.032,220.016,371841.0,186.351,142.555,7.25,189.166,221.187,9.1,0.17
2011-02-28,97.1,3.383,4.95,137.727,221.241,375017.0,188.289,142.937,7.25,189.539,221.898,9.0,0.16
2011-03-31,106.19,3.596,4.86,137.781,223.43,378506.0,185.11,144.072,7.25,191.028,223.046,9.0,0.14
2011-04-30,113.39,3.879,4.78,139.156,224.233,380335.0,185.197,145.968,7.25,191.323,224.093,9.1,0.1
2011-05-31,102.7,3.794,4.6,140.692,225.356,380024.0,184.327,148.361,7.25,195.838,224.806,9.0,0.09
2011-06-30,95.3,3.574,4.51,141.944,225.588,383142.0,185.94,151.776,7.25,203.836,224.806,9.1,0.09
2011-07-31,95.68,3.699,4.55,142.342,226.891,382837.0,186.719,154.184,7.25,205.963,225.395,9.0,0.07
2011-08-31,88.81,3.627,4.22,141.784,228.354,383691.0,186.808,155.823,7.25,205.362,226.106,9.0,0.1
2011-09-30,78.93,3.509,4.01,140.165,229.739,387567.0,184.144,153.586,7.25,205.812,226.597,9.0,0.08
2011-10-31,93.19,3.452,4.1,138.405,230.196,389853.0,181.22,151.494,7.25,197.003,226.75,8.8,0.07
2011-11-30,100.36,3.307,3.98,136.66,229.38,391274.0,179.708,149.23,7.25,193.193,227.169,8.6,0.08
2011-12-31,98.83,3.258,3.95,135.162,229.982,391510.0,178.193,148.14,7.25,192.777,227.223,8.5,0.07
2012-01-31,98.46,3.439,3.98,134.162,231.694,395469.0,176.044,147.143,7.25,193.612,227.842,8.3,0.08
2012-02-29,107.08,3.721,3.95,133.991,231.18,400300.0,169.753,147.011,7.25,193.183,228.329,8.3,0.1
2012-03-31,103.03,3.918,3.99,135.859,231.383,401569.0,168.196,148.677,7.25,192.148,228.807,8.2,0.13
2012-04-30,104.89,3.83,3.88,138.466,231.711,399972.0,163.692,151.087,7.25,192.472,229.187,8.2,0.14
2012-05-31,86.52,3.67,3.75,141.043,231.518,399180.0,156.863,153.565,7.25,196.159,228.713,8.2,0.16
2012-06-30,85.04,3.437,3.66,143.166,231.515,395595.0,160.714,155.306,7.25,204.907,228.524,8.2,0.16
2012-07-31,88.08,3.508,3.49,144.281,231.306,397407.0,162.972,155.815,7.25,203.318,228.59,8.2,0.16
2012-08-31,96.47,3.776,3.59,144.704,231.708,402211.0,165.953,154.851,7.25,202.87,229.918,8.1,0.13
2012-09-30,92.18,3.826,3.4,144.355,231.615,405357.0,164.528,151.118,7.25,202.628,231.015,7.8,0.14
2012-10-31,86.23,3.568,3.41,143.96200000000002,232.456,405437.0,165.966,148.293,7.25,194.544,231.638,7.8,0.16
2012-11-30,88.54,3.437,3.32,143.953,232.295,407308.0,171.243,145.862,7.25,191.837,231.249,7.7,0.16
2012-12-31,91.83,3.298,3.35,143.86,232.901,408665.0,173.098,145.234,7.25,191.879,231.221,7.9,0.16
2013-01-31,97.65,3.357,3.53,144.305,234.24,412115.0,171.597,145.26,7.25,194.525,231.679,8.0,0.14
2013-02-28,92.03,3.784,3.51,145.157,234.033,417013.0,171.888,146.718,7.25,194.739,232.937,7.7,0.15
2013-03-31,92.03,3.68,3.57,147.957,233.777,414024.0,171.248,148.753,7.25,193.856,232.282,7.5,0.14
2013-04-30,93.22,3.52,3.4,150.967,234.082,411770.0,176.159,150.16,7.25,194.553,231.797,7.6,0.15
2013-05-31,91.93,3.645,3.81,153.857,233.302,414325.0,179.173,151.099,7.25,199.557,231.893,7.5,0.11
2013-06-30,96.36,3.577,4.46,156.423,233.499,415442.0,179.557,151.76,7.25,208.737,232.445,7.5,0.09
2013-07-31,105.1,3.646,4.31,158.281,233.591,418110.0,177.356,152.554,7.25,209.538,232.9,7.3,0.09
2013-08-31,107.98,3.552,4.51,159.388,233.999,417377.0,173.861,153.252,7.25,208.514,233.456,7.2,0.08
2013-09-30,102.36,3.425,4.32,159.668,234.045,417654.0,173.315,151.75,7.25,209.106,233.544,7.2,0.08
2013-10-31,96.29,3.294,4.1,159.554,234.418,419247.0,173.329,150.413,7.25,200.392,233.669,7.2,0.09
2013-11-30,92.55,3.293,4.29,159.364,233.639,420513.0,173.035,148.74,7.25,197.442,234.1,6.9,0.08
2013-12-31,98.17,3.331,4.48,159.281,233.802,422794.0,172.898,148.183,7.25,198.043,234.719,6.7,0.09
2014-01-31,97.55,3.295,4.32,159.368,235.356,419015.0,179.982,147.386,7.25,203.026,235.288,6.6,0.07
2014-02-28,102.88,3.444,4.37,159.869,236.114,424793.0,186.095,147.616,7.25,202.224,235.547,6.7,0.07
2014-03-31,101.57,3.579,4.4,161.185,236.973,429132.0,199.34,148.92,7.25,204.131,236.028,6.7,0.08
2014-04-30,100.07,3.713,4.33,162.964,238.103,433530.0,196.872,150.496,7.25,198.654,236.468,6.2,0.09
2014-05-31,103.4,3.674,4.12,164.678,239.504,434248.0,192.303,151.441,7.25,206.715,236.918,6.3,0.09
2014-06-30,106.07,3.704,4.14,166.207,239.147,435438.0,188.769,151.978,7.25,217.529,237.231,6.1,0.1
2014-07-31,98.23,3.539,4.12,167.13099999999997,239.82,436150.0,189.659,152.857,7.25,217.93,237.498,6.2,0.09
2014-08-31,97.86,3.454,4.1,167.446,240.723,439518.0,183.96,153.277,7.25,217.148,237.46,6.1,0.09
2014-09-30,91.17,3.354,4.2,167.236,241.578,438459.0,183.376,151.153,7.25,215.054,237.477,5.9,0.09
2014-10-31,80.53,3.056,3.98,166.90400000000002,242.121,440095.0,179.226,147.893,7.25,206.667,237.43,5.7,0.09
2014-11-30,65.94,2.821,3.97,166.65200000000002,241.576,441249.0,178.558,144.151,7.25,202.889,236.983,5.8,0.09
2014-12-31,53.45,2.299,3.87,166.454,242.457,438509.0,182.908,141.957,7.25,204.275,236.252,5.6,0.12
2015-01-31,47.79,2.044,3.66,166.24200000000002,243.123,436125.0,179.184,141.461,7.25,208.172,234.747,5.7,0.11
2015-02-28,49.84,2.332,3.8,166.623,242.906,435450.0,173.978,143.39,7.25,208.696,235.342,5.5,0.11
2015-03-31,47.72,2.448,3.69,168.081,241.588,441895.0,170.592,147.023,7.25,205.894,235.976,5.4,0.11
2015-04-30,59.62,2.57,3.68,169.965,241.305,442967.0,164.839,149.788,7.25,206.179,236.222,5.4,0.12
2015-05-31,60.25,2.774,3.87,171.84599999999998,241.019,446114.0,162.639,150.713,7.25,207.683,237.001,5.6,0.12
2015-06-30,59.48,2.801,4.02,173.446,241.494,446572.0,164.205,150.97,7.25,217.468,237.657,5.3,0.13
2015-07-31,47.11,2.745,3.98,174.49099999999999,241.993,450143.0,162.733,151.119,7.25,216.406,238.034,5.2,0.13
2015-08-31,49.2,2.51,3.84,174.93,242.746,450168.0,162.885,150.908,7.25,215.786,238.033,5.1,0.14
2015-09-30,45.06,2.322,3.86,175.03400000000002,243.432,448090.0,161.189,148.52,7.25,214.132,237.498,5.0,0.14
2015-10-31,46.6,2.228,3.76,175.03799999999998,243.779,446905.0,159.422,145.821,7.25,205.604,237.733,5.0,0.12
2015-11-30,40.43,2.059,3.95,175.128,242.24,448738.0,157.75,143.247,7.25,202.479,238.017,5.1,0.12
2015-12-31,37.13,2.034,4.01,175.1,241.375,450598.0,155.746,142.474,7.25,201.787,237.761,5.0,0.24
2016-01-31,33.66,1.856,3.79,175.021,242.017,447376.0,156.513,142.668,7.25,203.169,237.652,4.8,0.34
2016-02-29,32.74,1.783,3.62,175.267,242.062,451898.0,155.981,144.024,7.25,202.528,237.336,4.9,0.38
2016-03-31,36.94,2.066,3.71,176.59099999999998,240.329,450462.0,154.822,146.178,7.25,202.487,238.08,5.0,0.36
2016-04-30,45.98,2.162,3.66,178.488,240.635,452238.0,154.13,147.489,7.25,201.778,238.992,5.1,0.37
2016-05-31,49.1,2.339,3.64,180.33700000000002,239.354,453898.0,154.994,147.223,7.25,205.038,239.557,4.8,0.37
2016-06-30,48.27,2.329,3.48,181.907,238.43,458711.0,155.914,146.303,7.25,213.474,240.222,4.9,0.38
2016-07-31,41.54,2.182,3.48,183.00799999999998,238.207,457894.0,162.129,145.457,7.25,214.193,240.101,4.8,0.39
2016-08-31,44.68,2.237,3.43,183.645,238.088,458375.0,164.715,144.858,7.25,214.222,240.545,4.9,0.4
2016-09-30,47.72,2.224,3.42,183.933,238.12,461400.0,165.881,142.482,7.25,214.381,241.176,5.0,0.4
2016-10-31,46.83,2.23,3.47,184.00599999999997,238.145,462362.0,167.049,139.914,7.25,206.397,241.741,4.9,0.4
2016-11-30,49.41,2.154,4.03,184.217,236.93,462231.0,167.469,137.789,7.25,202.984,242.026,4.7,0.41
2016-12-31,53.75,2.309,4.32,184.389,236.464,467852.0,167.935,137.475,7.25,203.146,242.637,4.7,0.54
2017-01-31,52.75,2.296,4.19,184.642,237.365,473019.0,172.319,137.397,7.25,205.23,243.618,4.7,0.65
2017-02-28,54.0,2.314,4.16,185.01,237.918,472945.0,172.967,137.899,7.25,206.416,244.006,4.6,0.66
2017-03-31,50.54,2.315,4.14,186.518,238.256,472149.0,170.755,139.372,7.25,205.692,243.892,4.4,0.79
2017-04-30,49.31,2.449,4.03,188.53099999999998,238.817,473986.0,172.597,140.654,7.25,206.671,244.193,4.4,0.9
2017-05-31,48.29,2.406,3.95,190.52599999999998,238.964,471630.0,174.901,140.875,7.25,210.541,244.004,4.4,0.91
2017-06-30,46.02,2.288,3.88,192.252,238.3,473546.0,175.807,140.015,7.25,218.865,244.163,4.3,1.04
2017-07-31,50.21,2.352,3.92,193.49599999999998,238.953,473552.0,174.301,139.519,7.25,219.696,244.243,4.3,1.15
2017-08-31,47.26,2.399,3.82,194.33,238.843,474449.0,173.646,139.35,7.25,219.078,245.183,4.4,1.16
2017-09-30,51.67,2.583,3.83,194.801,239.128,484163.0,172.111,137.141,7.25,218.117,246.435,4.3,1.15
2017-10-31,54.36,2.488,3.94,195.06799999999998,239.543,484848.0,172.373,135.867,7.25,210.424,246.626,4.2,1.15
2017-11-30,57.4,2.533,3.9,195.435,238.403,490013.0,173.504,134.901,7.25,208.111,247.284,4.2,1.16
2017-12-31,60.46,2.472,3.99,195.832,238.579,492579.0,175.909,136.118,7.25,208.406,247.805,4.1,1.3
2018-01-31,64.82,2.607,4.15,196.101,239.828,490426.0,172.658,136.555,7.25,210.171,248.859,4.0,1.41
2018-02-28,61.43,2.548,4.4,196.891,239.19,493334.0,179.557,137.768,7.25,210.97,249.529,4.1,1.42
2018-03-31,61.43,2.648,4.44,198.558,239.158,493022.0,176.567,139.892,7.25,210.273,249.577,4.0,1.51
2018-04-30,68.56,2.846,4.58,200.597,240.129,494498.0,174.318,139.368,7.25,209.215,250.227,4.0,1.69
2018-05-31,66.98,2.962,4.56,202.43400000000003,239.287,500930.0,173.42,138.506,7.25,212.646,250.792,3.8,1.7
2018-06-30,74.13,2.833,4.55,204.02599999999998,239.158,499218.0,172.167,139.09,7.25,218.591,251.018,4.0,1.82
2018-07-31,69.88,2.846,4.54,204.935,239.82,502255.0,172.062,140.687,7.25,217.9,251.214,3.8,1.91
2018-08-31,69.84,2.827,4.52,205.313,240.015,501962.0,173.867,141.095,7.25,217.967,251.663,3.8,1.91
