Scheme Code,Scheme_Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,NAV,Repurchase Price,Sale Price,Date,Rolling_Volatility
,Kotak FMP Series 145 (390 Days) - Direct Dividend,,,11.0309,,,2015-04-06,
,Kotak FMP Series 146 (388 Days) - Dividend,,,10.991794,,,2015-04-06,
,Reliance Fixed Horizon Fund - XXVI- Series 5- Direct Plan - Growth Option,,,10.9566,,,2015-04-06,
,Reliance Fixed Horizon Fund - XXVI- Series 5- Dividend payout Option,,,10.0,,,2015-04-06,
,Reliance Fixed Horizon Fund - XXVI- Series 5- Growth Option,,,10.9078,,,2015-04-06,
,Reliance Fixed Horizon Fund- XXVI- Series 8- Growth Option,,,10.9233,,,2015-04-07,
,Reliance Fixed Horizon Fund - XXV - Series 31 - Dividend Payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund - XXV - Series 27 - Dividend Payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund - XXV - Series 27 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund - XXVI - Series 2 - Dividend Payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund- XXVI- Series 9- Dividend payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund- XXVI- Series 8- Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund- XXVI- Series 8- Direct Plan - Growth Option,,,10.9364,,,2015-04-07,
,Reliance Fixed Horizon Fund - XXV - Series 28 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-07,
,Reliance Fixed Horizon Fund- XXVI- Series 8- Dividend payout Option,,,10.0,,,2015-04-07,
,Kotak FMP Series 147 (384 Days) - Dividend,,,10.9754905,,,2015-04-08,
,Reliance Fixed Horizon Fund - XXV - Series 19 - Growth Option,,,11.1249,,,2015-04-13,
,Reliance Fixed Horizon Fund - XXV - Series 19 - Dividend Payout Option,,,10.0,,,2015-04-13,
,Reliance Fixed Horizon Fund - XXV - Series 19 - Direct Plan - Growth Option,,,11.1432,,,2015-04-13,
,HDFC Liquid Fund-Premium Plan - Dividend-Weekly,,,10.0,,,2015-04-14,
,ICICI Prudential Interval Fund IV Quarterly Interval Plan B - Direct Plan -  Quarterly Dividend Payout,,,10.2084,,,2015-04-15,
,Reliance Fixed Horizon Fund- XXVI- Series 12- Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-15,
,Reliance Fixed Horizon Fund- XXVI- Series 12- Dividend payout Option,,,10.0,,,2015-04-15,
,Reliance Fixed Horizon Fund - XXV - Series 16 - Dividend Payout Option,,,10.0,,,2015-04-16,
,Kotak FMP Series 148 (388 Days) - Dividend,,,10.97208832,,,2015-04-16,
,Kotak FMP Series 149 (386 Days) - Dividend,,,10.95417912,,,2015-04-16,
,Reliance Fixed Horizon Fund - XXV - Series 17 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-16,
,Reliance Fixed Horizon Fund - XXV - Series 16 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-16,
,Reliance Fixed Horizon Fund - XXV - Series 22 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-17,
,Reliance Fixed Horizon Fund - XXV - Series 21 - Dividend Payout Option,,,10.0,,,2015-04-20,
,Reliance Fixed Horizon Fund- XXVI- Series 13- Dividend payout Option,,,10.0,,,2015-04-20,
,Reliance Fixed Horizon Fund- XXVI- Series 13- Direct Plan - Dividend Payout Option,,,10.0,,,2015-04-20,
,Kotak FMP Series 157 (370 Days) - Dividend,,,10.92376877,,,2015-04-22,
,Kotak FMP Series 154 (390 Days) - Direct Dividend,,,11.10164585,,,2015-04-23,
,Kotak FMP Series 142 (420 Days) - Dividend,,,11.0881154,,,2015-04-27,
,Reliance Dual Advantage Fixed Tenure Fund - II - Plan A - Growth Option,,,15.1699,,,2015-04-29,
,Reliance Dual Advantge Fixed Tenure Fund II - Plan B - Growth Option,,,15.2557,,,2015-04-29,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan B - Dividend Payout Option,,,15.0554,,,2015-04-29,
,Reliance Dual Advantage Fixed Tenure Fund - II - Plan A - Dividend Payout Option,,,14.9686,,,2015-04-29,
,Kotak FMP Series 158 (370 Days) - Direct Dividend,,,10.9618352,,,2015-05-05,
,Reliance Fixed Horizon Fund - XXVI - Series 17- Dividend payout Option,,,10.0,,,2015-05-05,
,Franklin India Corporate Debt Fund - Direct - Bonus,,,0.0,,,2015-05-08,
,Reliance Fixed Horizon Fund- XXVI- Series 19- Dividend Payout Option,,,10.0,,,2015-05-11,
,ICICI Prudential Fixed Maturity Plan -Series 74 -369 Days Plan I - Dividend Option,,,10.9302,,,2015-05-12,
,ICICI Prudential Short Term Gilt Fund - Bonus,,,10.0481,,,2015-05-12,
,ICICI Prudential Fixed Maturity Plan-Series 71-547 Days Plan B - Dividend,,,11.4019,,,2015-05-13,
,Reliance Fixed Horizon Fund - XXIV - Series 6 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-05-13,
,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,,,1289.4075,,,2015-05-18,
,Reliance Fixed Horizon Fund XXVI- Series 20- Dividend Payout Option,,,10.0,,,2015-05-19,
,Kotak FMP Series 141 (454 Days) - Direct Dividend,,,11.22644472,,,2015-05-20,
,Reliance Fixed Horizon Fund XXVI- Series 22- Dividend Payout Option,,,10.0,,,2015-05-21,
,ICICI Prudential Fixed Maturity Plan - Series 74 - 369 Days Plan K Direct Plan Dividend Option,,,10.9092,,,2015-05-26,
,Reliance Fixed Horizon Fund- XXVI- Series 24- Dividend Payout Option,,,10.0,,,2015-05-26,
,Reliance Fixed Horizon Fund- XXVI- Series 24- Direct Plan- Dividend Payout Option,,,10.0,,,2015-05-26,
,ICICI Prudential Fixed Maturity Plan-Series 72-483 Days Plan J - Dividend,,,11.2264,,,2015-05-28,
,ICICI Prudential Fixed Maturity Plan-Series 72-483 Days Plan J - Direct Plan - Dividend,,,11.2859,,,2015-05-28,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan C - Dividend Payout Option,,,15.7512,,,2015-06-01,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan C - Growth Option,,,15.9518,,,2015-06-01,
,ICICI Prudential Fixed Maturity Plan-Series 74- 369 Days Plan L Direct Plan Dividend Option,,,10.9025,,,2015-06-01,
,ICICI Prudential Capital Protection Oriented Fund II - Series IX - 36 Months - Cumulative,,,14.4721,,,2015-06-02,
,ICICI Prudential Capital Protection Oriented Fund II - Series IX - 36 Months - Dividend,,,14.4721,,,2015-06-02,
,Reliance Fixed Horizon Fund XXVI- Series 25- Dividend Payout Option,,,10.0,,,2015-06-02,
,Kotak FMP Series 162 (370 Days) - Direct Dividend,,,10.938333,,,2015-06-02,
,ICICI Prudential Fixed Maturity Plan-Series 72-500 Days Plan E - Dividend,,,11.2477,,,2015-06-04,
,Franklin India Short-Term Income Plan-Weekly Bonus,,,0.0,,,2015-06-08,
,ICICI Prudential Fixed Maturity Plan-Series 63-3 Year Plan K Cumulative,,,12.9573,,,2015-06-08,
,Franklin India Corporate Debt Fund - Monthly Bonus,,,0.0,,,2015-06-08,
,ICICI Prudential Fixed Maturity Plan-Series 63-3 Year Plan K Dividend,,,10.4976,,,2015-06-08,
,ICICI Prudential Fixed Maturity Plan -Series 74 -368 Days Plan R Direct Plan Dividend Option,,,10.6233,,,2015-06-08,
,ICICI Prudential Savings Fund Plan C - Growth,,,218.1632,,,2015-06-15,
,ICICI Prudential Fixed Maturity Plan-Series 68-745 Days Plan C - Direct Plan - Dividend,,,10.8449,,,2015-06-24,
,Reliance Fixed Horizon Fund - XXV - Series 6 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-06-29,
,Reliance Fixed Horizon Fund - XXV - Series 3  - Dividend Payout Option,,,10.0,,,2015-06-29,
,Reliance Fixed Horizon Fund - XXV - Series 6 - Dividend Payout Option,,,10.0,,,2015-06-29,
,ICICI Prudential Capital Protection Oriented Fund II - Series X - 36 Months - Cumulative,,,13.8439,,,2015-06-30,
,ICICI Prudential Capital Protection Oriented Fund II - Series X - 36 Months - Dividend,,,13.8439,,,2015-06-30,
,Reliance Fixed Horizon Fund - XXV - Series 1-Dividend Payout Option,,,10.0,,,2015-07-02,
,Reliance Fixed Horizon Fund - XXV - Series 1 -Direct Plan -Dividend Payout Option,,,10.0,,,2015-07-02,
,ICICI Prudential Fixed Maturity Plan - Series 74 - 370 Days Plan X Direct Plan Dividend Option,,,10.6944,,,2015-07-06,
,ICICI Prudential Fixed Maturity Plan-Series 63-3 Year Plan L Cumulative,,,12.9338,,,2015-07-06,
,ICICI Prudential Fixed Maturity Plan-Series 63-3 Year Plan L Dividend,,,10.6443,,,2015-07-06,
,Kotak FMP Series 132 (546 Days) - Direct Dividend,,,11.436448,,,2015-07-08,
,ICICI Prudential Fixed Maturity Plan-Series 63-3 Year Plan M Cumulative,,,12.8634,,,2015-08-03,
,ICICI Prudential Fixed Maturity Plan-Series 63-3 Year Plan M Dividend,,,10.6672,,,2015-08-03,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan D - Growth Option,,,14.5819,,,2015-08-04,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan D - Dividend Payout Option,,,14.3814,,,2015-08-04,
,ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,,,10.077,,,2015-08-04,
,Reliance Fixed Horizon Fund - XXIV - Series 5 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-08-19,
,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,,,10.3305,,,2015-08-20,
,Reliance Fixed Horizon Fund - XXII - Series 21 - Growth Option,,,12.9924,,,2015-08-31,
,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan H Cumulative,,,12.7397,,,2015-08-31,
,Reliance Fixed Horizon Fund - XXII - Series 21 - Dividend Payout Option,,,10.0,,,2015-08-31,
,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan H Dividend,,,10.7166,,,2015-08-31,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan E - Dividend Payout Option,,,14.3834,,,2015-09-01,
,Franklin India Ultra Short Bond Fund - Institutional - Weekly Dividend,,,0.0,,,2015-09-01,
,Reliance Dual Advantage Fixed Tenure Fund II - Plan E - Growth Option,,,14.5839,,,2015-09-01,
,Reliance Fixed Horizon Fund - XXIV - Series 10 - Dividend Payout Option,,,10.0,,,2015-09-02,
,Reliance Fixed Horizon Fund - XXIV - Series 10 - Direct Plan - Dividend Payout Option,,,10.0,,,2015-09-02,
,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan I Cumulative,,,12.9274,,,2015-09-07,
,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan I Dividend,,,11.9832,,,2015-09-07,
,Franklin India Money Market Fund - Institutional Option - Growth,,,0.0,,,2015-09-07,
,Reliance Fixed Horizon Fund - XXII - Series 23 - Dividend Payout Option,,,10.0,,,2015-09-18,
,Reliance Fixed Horizon Fund - XXII - Series 23 - Growth Option,,,12.8692,,,2015-09-18,
,Reliance Fixed Horizon Fund - XXII - Series 22 - Dividend Payout Option,,,10.0,,,2015-09-21,
,Reliance Fixed Horizon Fund - XXII - Series 22 - Growth Option,,,12.8537,,,2015-09-21,
,ICICI Prudential Liquid Fund - Institutional - Weekly - Div,,,118.6133,,,2015-09-28,
,Reliance Fixed Horizon Fund - XXII - Series 26 - Dividend Payout Option,,,10.0,,,2015-09-28,
,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan K Dividend,,,10.777,,,2015-09-28,
,ICICI Prudential Fixed Maturity Plan-Series 64-3 Year Plan K Cumulative,,,12.73,,,2015-09-28,
,Reliance Fixed Horizon Fund - XXII - Series 26 - Growth Option,,,12.997,,,2015-09-28,
,ICICI Prudential Fixed Maturity Plan-Series 70-742 Days Plan D - Direct Plan - Dividend,,,10.8105,,,2015-09-30,
,ICICI Prudential Fixed Maturity Plan-Series 70-745 Days Plan G - Direct Plan - Dividend,,,10.8768,,,2015-10-08,
,ICICI Prudential Blended Plan A - Direct Plan Bonus,,,10.9152,,,2015-10-12,
,ICICI Prudential Fixed Maturity Plan-Series 65-3 Year Plan A Dividend,,,10.856,,,2015-10-26,
,ICICI Prudential Fixed Maturity Plan-Series 65-3 Year Plan A Cumulative,,,12.7672,,,2015-10-26,
,Reliance Fixed Horizon Fund - XXII - Series 29 - Dividend Option,,,10.0,,,2015-11-10,
,Reliance Fixed Horizon Fund - XXII - Series 29 - Growth Option,,,12.8506,,,2015-11-10,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN A - 36 Months - Cumulative,,,13.279,,,2015-12-11,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN A - 36 Months - Dividend,,,13.279,,,2015-12-11,
,Nippon India Balanced Advantage Fund - Direct Plan Growth Plan - Bonus Option,,,9.6826,,,2015-12-24,
,Reliance Fixed Horizon Fund - XXII - Series 34 - Dividend Payout Option,,,10.0,,,2016-01-01,
,Reliance Fixed Horizon Fund - XXII -Series -34 Growth Option,,,12.9275,,,2016-01-01,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN C - 36 Months - Dividend,,,13.0113,,,2016-01-04,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN C - 36 Months - Cumulative,,,13.0113,,,2016-01-04,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Direct Plan - Dividend Payout Option,,,13.1471,,,2016-01-06,
,ICICI Prudential Medium Term Bond Fund Plan C - Quarterly Dividend,,,10.4491,,,2016-01-28,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN D - 36 Months - Cumulative,,,12.9111,,,2016-02-01,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN D - 36 Months - Direct Plan - Cumulative,,,13.3938,,,2016-02-01,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN D - 36 Months - Direct Plan - Dividend,,,13.3938,,,2016-02-01,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN D - 36 Months - Dividend,,,12.9111,,,2016-02-01,
,ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Dividend,,,10.8654,,,2016-02-29,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Dividend,,,12.9714,,,2016-03-03,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Direct Plan - Dividend,,,13.4547,,,2016-03-03,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Direct Plan - Cumulative,,,13.4547,,,2016-03-03,
,ICICI Prudential Capital Protection Oriented Fund III - PLAN F - 36 Months - Cumulative,,,12.9714,,,2016-03-03,
,Reliance Yearly Interval Fund - Series 6 - Dividend Option,,,10.765,,,2016-03-22,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A -Dividend,,,11.9359,,,2016-03-31,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A - Direct Plan - Dividend,,,12.1627,,,2016-03-31,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A - Direct Plan - Cumulative,,,14.1491,,,2016-03-31,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan A - Cumulative,,,13.6795,,,2016-03-31,
,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,,,10.6356,,,2016-03-31,
,Reliance Fixed Horizon Fund - XXIII - Series 8 - Dividend Payout Option,,,10.0,,,2016-04-05,
,Reliance Fixed Horizon Fund - XXIII - Series 8 - Direct Plan - Dividend Payout Option,,,10.0,,,2016-04-05,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Direct Plan - Growth Option,,,13.5024,,,2016-04-11,
,ICICI Prudential Fixed Maturity Plan-Series 67-3 Year Plan F - Dividend,,,12.4781,,,2016-04-11,
,ICICI Prudential Fixed Maturity Plan-Series 67-3 Year Plan F - Direct Plan - Dividend,,,12.559,,,2016-04-11,
,ICICI Prudential Fixed Maturity Plan-Series 67-3 Year Plan F - Direct Plan - Cumulative,,,12.9328,,,2016-04-11,
,ICICI Prudential Fixed Maturity Plan-Series 67-3 Year Plan F - Cumulative,,,12.8506,,,2016-04-11,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Growth Option,,,13.1028,,,2016-04-11,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan A - Dividend Payout Option,,,12.901,,,2016-04-11,
,ICICI Prudential Fixed Maturity Plan-Series 67-740 Days Plan H - Direct Plan - Dividend,,,12.4756,,,2016-04-18,
,ICICI Prudential Interval Fund IV Quarterly Interval Plan B -Dividend,,,10.1688,,,2016-04-20,
,ICICI Prudential Blended Plan A-Direct Plan -  Growth,,,23.0933,,,2016-04-22,
,ICICI Prudential Blended Plan A - Growth,,,22.7587,,,2016-04-22,
,ICICI Prudential Blended Plan A -  Dividend,,,13.5898,,,2016-04-22,
,ICICI Prudential Blended Plan A-Direct Plan -  Dividend,,,13.6408,,,2016-04-22,
,Nippon India Fixed Horizon Fund - XXV - Series 15 - Direct Plan - Dividend Payout Option,,,10.0,,,2016-05-03,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan B - Direct Plan - Cumulative,,,13.9543,,,2016-05-09,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan B - Cumulative,,,13.4418,,,2016-05-09,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan B - Direct Plan - Dividend,,,12.2117,,,2016-05-09,
,Reliance Fixed Horizon Fund XXIII - Series 10 -Growth Option,,,12.7977,,,2016-05-09,
,Reliance Fixed Horizon Fund XXIII - Series 10 - Direct Plan - Growth Option,,,12.8236,,,2016-05-09,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan B -Dividend,,,11.9416,,,2016-05-09,
,Reliance Fixed Horizon Fund XXIII - Series 10 - Dividend Option,,,10.0,,,2016-05-09,
,ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan K Dividend Option,,,10.216,,,2016-05-16,
,ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan K Direct Plan Dividend Option,,,10.2213,,,2016-05-16,
,Reliance Fixed Horizon Fund XXVI- Series 15- Direct Plan - Dividend Payout Option,,,10.0,,,2016-05-18,
,ICICI Prudential Fixed Maturity Plan-Series 67-745 Days Plan K - Cumulative,,,12.7299,,,2016-05-18,
,ICICI Prudential Fixed Maturity Plan-Series 67-745 Days Plan K - Direct Plan - Dividend,,,11.2654,,,2016-05-18,
,ICICI Prudential Fixed Maturity Plan-Series 67-745 Days Plan K - Direct Plan - Cumulative,,,12.8026,,,2016-05-18,
,ICICI Prudential Fixed Maturity Plan-Series 67-745 Days Plan K - Dividend,,,11.2391,,,2016-05-18,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan B - Growth Option,,,14.0369,,,2016-05-19,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan B - Dividend Payout Option,,,13.9369,,,2016-05-19,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan B - Direct Plan - Dividend Payout Option,,,14.4006,,,2016-05-19,
,Reliance Dual Advantage Fixed Tenure Fund III - Plan B - Direct Plan - Growth Option,,,14.5006,,,2016-05-19,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan C - Direct Plan - Dividend,,,11.9706,,,2016-05-24,
,ICICI Prudential Multiple Yield Fund - Series 3 - Plan C -Dividend,,,11.726,,,2016-05-24,
,Reliance Fixed Horizon Fund XXX- Series 9- Growth Option,,,10.2082,,,2016-05-26,
,Reliance Fixed Horizon Fund XXX- Series 9- Direct Plan-Dividend Payout Option,,,10.0,,,2016-05-26,
,Reliance Fixed Horizon Fund XXX- Series 9- Direct Plan-Growth Option,,,10.2129,,,2016-05-26,
,Reliance Fixed Horizon Fund XXX- Series 9- Dividend Payout Option,,,10.0,,,2016-05-26,
,ICICI Prudential Fixed Maturity Plan - Series 78 -95 Days Plan M Cumulative Option,,,10.224,,,2016-05-30,
,ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan M Dividend Option,,,10.2239,,,2016-05-30,
,ICICI Prudential Fixed Maturity Plan - Series 78 - 95 Days Plan M Direct Plan Dividend Option,,,10.2253,,,2016-05-30,
,ICICI Prudential Fixed Maturity Plan - Series 78 -95 Days Plan M Direct Plan Cumulative Option,,,10.2253,,,2016-05-30,
,Reliance Fixed Horizon Fund - XXIII - Series 11 - Dividend Payout Option,,,10.0,,,2016-05-31,
,Reliance Fixed Horizon Fund - XXIII - Series 11 - Direct Plan - Growth Option,,,12.8722,,,2016-05-31,
,Reliance Fixed Horizon Fund - XXIII - Series 11 - Growth Option,,,12.7733,,,2016-05-31,
,Reliance Fixed Horizon Fund - XXV - Series 23 - Dividend Payout Option,,,10.0,,,2016-06-07,
,Reliance Fixed Horizon Fund - XXVI - Series 14- Direct Plan - Dividend Payout Option,,,10.0,,,2016-06-15,
,ICICI Prudential Fixed Maturity Plan-Series 68-745 Days Plan C - Dividend,,,11.5947,,,2016-06-27,
,ICICI Prudential Fixed Maturity Plan-Series 68-745 Days Plan C - Direct Plan - Cumulative,,,12.7021,,,2016-06-27,
,ICICI Prudential Fixed Maturity Plan-Series 68-745 Days Plan C - Cumulative,,,12.6355,,,2016-06-27,
,Reliance Fixed Horizon Fund - XXIII - Series 12 - Dividend Payout Option,,,10.0,,,2016-06-29,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan C - Dividend,,,11.9043,,,2016-07-07,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan C - Direct Plan - Dividend,,,12.1789,,,2016-07-07,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan C - Direct Plan - Cumulative,,,14.0558,,,2016-07-07,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan C - Cumulative,,,13.5471,,,2016-07-07,
,Nippon India Multi Cap Fund Institutional Dividend Plan,,,44.8994,,,2016-07-13,
,PGIM India Hybrid Equity Fund - BONUS OPTION,,,16.6,,,2016-07-25,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan E - Cumulative,,,13.868,,,2016-07-28,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan E - Direct Plan - Cumulative,,,14.3494,,,2016-07-28,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan E -Dividend,,,12.2607,,,2016-07-28,
,ICICI Prudential Multiple Yield Fund - Series 4 - 1100 Days - Plan E - Direct Plan - Dividend,,,12.5218,,,2016-07-28,
,PGIM India Gilt Fund - Bonus,,,13.8662,,,2016-08-01,
,PGIM India Insta Cash Fund - Direct Plan -Monthly Bonus,,,132.9596,,,2016-08-01,
,PGIM India Insta Cash Fund - Direct Plan -  Regular Bonus,,,138.2962,,,2016-08-01,
,PGIM India Premier Bond Fund - Annual Bonus,,,24.9334,,,2016-08-01,
,PGIM India Premier Bond Fund - Bonus,,,15.226,,,2016-08-01,
,PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus,,,13.2164,,,2016-08-01,
,ICICI Prudential Fixed Maturity Plan-Series 68-369 Days Plan I - Cumulative,,,13.0352,,,2016-08-02,
